MOIS,DATE,ANNEE,CATEGORIE,SOUS-CATEGORIE,PRODUITS,UNITE,VILLE,PRIX
janvier,2020-01-06,2020,PRODUITS VIVRIERS,FRUITS,AVOCAT (kg),kilogramme,BOUAKE,300
janvier,2020-01-06,2020,PRODUITS VIVRIERS,PRODUITS DE SAISON,COROSSOL,sans unité,BOUAKE,200
janvier,2020-01-06,2020,PRODUITS VIVRIERS,PRODUITS DE SAISON,BANANE PLANTAIN (kg),kilogramme,BOUAKE,300
janvier,2020-01-06,2020,PRODUITS VIVRIERS,PRODUITS DE SAISON,TOMATE TYPE SALADE (kg),kilogramme,BOUAKE,500
janvier,2020-01-06,2020,PRODUITS VIVRIERS,PRODUITS HORS  SAISON,PATATE DOUCE,kilogramme,BOUAKE,500
janvier,2020-01-06,2020,PRODUITS VIVRIERS,PRODUITS DE SAISON,ARACHIDE DECORTIQUEE (kg),kilogramme,BOUAKE,450
janvier,2020-01-06,2020,PRODUITS FRAIS,BOUCHERIE,VIANDE DE BOEUF SANS OS (kg),kilogramme,BOUAKE,2200
janvier,2020-01-06,2020,PRODUITS FRAIS,BOUCHERIE,VIANDE DE BOEUF AVEC OS (kg),kilogramme,BOUAKE,2000
janvier,2020-01-06,2020,PRODUITS FRAIS,BOUCHERIE,VIANDE DE MOUTON (kg),kilogramme,BOUAKE,3000
janvier,2020-01-06,2020,PRODUITS FRAIS,BOUCHERIE,POULET DE CHAIR (kg),kilogramme,BOUAKE,2000
janvier,2020-01-06,2020,PRODUITS FRAIS,POISSONNERIE,CARPE NOIRE D'AQUACULTURE,kilogramme,BOUAKE
janvier,2020-01-06,2020,PRODUITS FRAIS,POISSONNERIE,CARPE ROUGE LOCALE,kilogramme,BOUAKE
janvier,2020-01-06,2020,PRODUITS FRAIS,POISSONNERIE,THON NOIR,kilogramme,BOUAKE
janvier,2020-01-06,2020,PRODUITS FRAIS,POISSONNERIE,THON ROUGE,kilogramme,BOUAKE
janvier,2020-01-06,2020,PRODUITS FRAIS,POISSONNERIE,SOSSO LOCAL,kilogramme,BOUAKE
janvier,2020-01-06,2020,PRODUITS FRAIS,POISSONNERIE,MÂCHOIRON FRAIS LOCAL,kilogramme,BOUAKE
janvier,2020-01-06,2020,PRODUITS FRAIS,POISSONNERIE,SARDINE FUMÉE (MANGNE),kilogramme,BOUAKE
janvier,2020-01-06,2020,PRODUITS FRAIS,POISSONNERIE,ESCARGOT LOCAL,kilogramme,BOUAKE
janvier,2020-01-06,2020,PRODUITS FRAIS,POISSONNERIE,CREVETTE LOCALE,kilogramme,BOUAKE
janvier,2020-01-06,2020,PRODUITS MANUFACTURES,DIVERS,RIZ IMPORTE DU VIETNAM / SAC 5 KGS,kilogramme,BOUAKE
janvier,2020-01-06,2020,PRODUITS MANUFACTURES,DIVERS,RIZ IMPORTE DU VIETNAM / SACHET 900G,gramme,BOUAKE
janvier,2020-01-06,2020,PRODUITS MANUFACTURES,DIVERS,RIZ IMPORTE DE THAÏLANDE / SAC 5 KGS,kilogramme,BOUAKE
janvier,2020-01-06,2020,PRODUITS MANUFACTURES,DIVERS,RIZ IMPORTE DE THAÏLANDE / SACHET 900G,gramme,BOUAKE
janvier,2020-01-06,2020,PRODUITS MANUFACTURES,DIVERS,HUILE DE PALME RAFFINÉE / BOUTEILLE 5L,litre,BOUAKE
janvier,2020-01-06,2020,PRODUITS MANUFACTURES,DIVERS,HUILE DE PALME RAFFINÉE BOUTEILLE 31,litre,BOUAKE
janvier,2020-01-06,2020,PRODUITS MANUFACTURES,DIVERS,"HUILE DE PALME RAFFINÉE / BOUTEILLE 1,5L",litre,BOUAKE
janvier,2020-01-06,2020,PRODUITS VIVRIERS,PRODUITS HORS  SAISON,KPONAN (kg),kilogramme,YAMOUSSOUKRO,500
janvier,2020-01-06,2020,PRODUITS VIVRIERS,PRODUITS DE SAISON,IGNAME KLEGLE (kg),kilogramme,YAMOUSSOUKRO,400
janvier,2020-01-06,2020,PRODUITS VIVRIERS,PRODUITS HORS  SAISON,ASSAWA,kilogramme,YAMOUSSOUKRO,400
janvier,2020-01-06,2020,PRODUITS VIVRIERS,PRODUITS DE SAISON,IGNAME BÊTÊ BÊTÊ (kg) ,kilogramme,YAMOUSSOUKRO
janvier,2020-01-06,2020,PRODUITS VIVRIERS,PRODUITS HORS  SAISON,MANIOC (kg),kilogramme,YAMOUSSOUKRO,200
janvier,2020-01-06,2020,PRODUITS VIVRIERS,PRODUITS DE SAISON,CITRON (kg),kilogramme,YAMOUSSOUKRO,700
janvier,2020-01-06,2020,PRODUITS VIVRIERS,PRODUITS HORS  SAISON,POMME DE TERRE (kg),kilogramme,YAMOUSSOUKRO,500
janvier,2020-01-06,2020,PRODUITS VIVRIERS,FRUITS,ANANAS (kg),kilogramme,YAMOUSSOUKRO,500
janvier,2020-01-06,2020,PRODUITS VIVRIERS,PRODUITS DE SAISON,MIL (kg),kilogramme,YAMOUSSOUKRO,375
janvier,2020-01-06,2020,PRODUITS MANUFACTURES,DIVERS,FONIO (400 GR.),gramme,YAMOUSSOUKRO
